ITERAÇÃO,NR PONTOS SELECIONADOS,TOTAL PONTOS,LISTA DE PONTOS,RESULTADO
1,4,20,2 8 11 16 ,-0.775000
2,9,20,1 5 8 9 10 12 13 14 18 ,1.367273
3,20,20,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ,3.813637
4,18,20,3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ,3.813637
5,3,20,4 13 14 ,3.813637
6,20,20,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ,3.813637
7,14,20,1 3 5 6 7 8 9 10 11 12 15 17 19 20 ,3.813637
8,17,20,1 3 4 5 6 7 9 10 11 12 13 15 16 17 18 19 20 ,3.813637
9,11,20,1 3 6 8 9 11 14 15 17 19 20 ,3.813637
10,20,20,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ,3.982941
11,7,20,1 2 4 5 6 9 20 ,3.982941
12,6,20,4 8 12 13 14 16 ,4.745000
13,14,20,1 3 4 5 6 7 8 9 12 13 14 17 18 20 ,4.745000
14,8,20,1 2 5 6 9 17 18 20 ,4.745000
15,12,20,1 2 3 6 7 8 9 11 12 15 16 17 ,4.745000
16,12,20,2 3 4 6 7 8 9 12 15 17 19 20 ,7.505714
17,11,20,3 4 5 6 7 9 11 13 15 17 19 ,7.505714
18,14,20,1 2 3 4 5 7 11 12 13 15 17 18 19 20 ,7.505714
19,14,20,1 2 4 5 6 7 10 11 13 15 16 17 19 20 ,7.505714
20,8,20,1 4 6 7 9 12 15 18 ,11.110001
21,15,20,1 2 3 4 6 7 9 10 11 12 13 14 16 18 19 ,11.110001
22,8,20,1 2 5 10 11 12 13 14 ,11.110001
23,15,20,2 3 4 7 8 9 10 11 12 13 14 15 16 17 18 ,11.110001
24,13,20,1 3 5 6 7 8 9 12 13 16 17 18 19 ,11.110001
25,17,20,1 2 4 5 6 7 8 9 10 11 12 14 16 17 18 19 20 ,11.110001
26,19,20,1 2 3 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 20 ,11.110001
27,5,20,6 8 9 10 18 ,11.110001
28,10,20,1 3 4 6 7 9 15 17 19 20 ,11.110001
29,18,20,1 2 3 4 5 6 7 8 9 10 12 13 14 16 17 18 19 20 ,11.110001
30,9,20,2 4 6 7 9 10 14 17 18 ,11.110001
31,11,20,1 3 4 5 6 9 13 14 16 17 18 ,11.110001
32,12,20,2 3 4 5 6 8 10 13 16 17 19 20 ,11.110001
33,14,20,2 3 4 5 6 8 10 12 13 15 16 18 19 20 ,11.110001
34,15,20,3 6 8 9 10 11 12 13 14 15 16 17 18 19 20 ,11.110001
35,12,20,1 2 3 4 6 7 8 11 14 16 19 20 ,11.110001
36,6,20,1 3 11 16 17 18 ,11.110001
37,12,20,2 3 5 7 9 10 11 12 15 16 17 18 ,11.110001
38,9,20,5 6 8 11 14 15 16 17 20 ,11.110001
39,15,20,1 2 3 4 5 7 9 10 11 12 14 15 16 17 19 ,11.110001
40,2,20,6 20 ,11.110001
41,11,20,2 4 5 7 8 10 11 12 16 17 19 ,11.110001
42,20,20,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ,11.110001
43,7,20,1 4 8 11 12 14 17 ,11.110001
44,10,20,1 3 6 7 8 11 12 13 16 18 ,11.110001
45,6,20,4 5 12 14 16 20 ,11.110001
46,2,20,6 8 ,11.110001
47,19,20,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 17 18 19 20 ,11.110001
48,2,20,9 20 ,11.110001
49,11,20,1 2 6 7 8 11 12 15 17 18 20 ,11.110001
50,7,20,6 7 10 15 17 18 20 ,11.110001
51,19,20,2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ,11.110001
52,9,20,1 3 4 5 13 16 17 19 20 ,11.110001
53,7,20,7 10 14 17 18 19 20 ,11.110001
54,4,20,9 11 18 19 ,11.110001
55,2,20,5 10 ,11.110001
56,20,20,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ,11.110001
57,16,20,1 2 3 4 5 6 7 8 9 11 12 14 15 18 19 20 ,11.110001
58,17,20,1 2 3 4 5 6 7 8 9 10 11 12 14 15 17 18 19 ,11.110001
59,9,20,3 4 10 11 14 15 16 19 20 ,11.110001
60,19,20,1 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ,11.110001
61,2,20,16 17 ,11.110001
62,19,20,1 2 3 4 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ,11.110001
63,5,20,1 3 5 15 20 ,11.110001
64,3,20,1 18 20 ,11.110001
65,19,20,1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18 19 20 ,11.110001
66,14,20,1 4 5 7 8 9 10 11 12 14 15 17 18 20 ,11.110001
67,2,20,16 17 ,11.110001
68,4,20,3 5 7 12 ,11.110001
69,19,20,1 2 3 4 5 6 8 9 10 11 12 13 14 15 16 17 18 19 20 ,11.110001
70,19,20,1 2 3 4 5 6 7 8 9 10 11 12 13 15 16 17 18 19 20 ,11.110001
71,8,20,2 9 10 12 16 17 18 19 ,11.110001
72,14,20,2 3 4 5 6 7 8 9 11 12 14 15 17 19 ,11.110001
73,13,20,1 2 3 6 7 8 9 11 12 13 14 16 20 ,11.110001
74,10,20,2 3 4 6 7 9 12 13 18 19 ,11.110001
75,7,20,2 4 12 14 15 19 20 ,11.110001
76,2,20,11 14 ,11.110001
77,17,20,1 2 4 6 7 8 9 10 11 12 13 14 15 16 17 18 19 ,12.209091
78,7,20,1 3 4 5 6 11 13 ,12.209091
79,19,20,1 2 3 4 5 6 7 8 9 10 11 13 14 15 16 17 18 19 20 ,12.209091
80,18,20,1 2 3 5 6 7 8 9 10 11 12 13 14 16 17 18 19 20 ,12.209091
